"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","","","length","","","","","","","length","","","","","","",""
"2","","","km_clust_7","","","","","","","km_clust_8","","","","","","",""
"3","","length","1","2","3","4","5","6","7","1","2","3","4","5","6","7","8"
"4","All","8950","2230","1104","854","607","620","1783","1752","664","685","2241","618","2124","127","1726","765"
