"","eigen.corrm..values","cum_sum_eigen","pct_var","cum_pct_var"
"1",7.14801534500224,7.14801534500224,0.28592061380009,0.28592061380009
"2",5.10309618774601,12.2511115327483,0.204123847509841,0.49004446130993
"3",2.43922483171038,14.6903363644586,0.0975689932684153,0.587613454578346
"4",2.00857512103596,16.6989114854946,0.0803430048414384,0.667956459419784
"5",1.28314155208381,17.9820530375784,0.0513256620833525,0.719282121503137
"6",1.19719024671405,19.1792432842925,0.0478876098685619,0.767169731371699
"7",0.922068005661946,20.1013112899544,0.0368827202264779,0.804052451598176
"8",0.901671203648258,21.0029824936027,0.0360668481459303,0.840119299744107
"9",0.738961812514234,21.7419443061169,0.0295584725005694,0.869677772244676
"10",0.534955779488203,22.2769000856051,0.0213982311795281,0.891076003424204
"11",0.533203703226033,22.8101037888311,0.0213281481290413,0.912404151553246
"12",0.445451165265481,23.2555549540966,0.0178180466106192,0.930222198163865
"13",0.370459616710145,23.6260145708068,0.0148183846684058,0.945040582832271
"14",0.333875431977792,23.9598900027846,0.0133550172791117,0.958395600111382
"15",0.251951949885554,24.2118419526701,0.0100780779954222,0.968473678106804
"16",0.199994900177244,24.4118368528473,0.00799979600708977,0.976473474113894
"17",0.182380461136155,24.5942173139835,0.00729521844544622,0.98376869255934
"18",0.137697830516827,24.7319151445003,0.0055079132206731,0.989276605780014
"19",0.112658384715132,24.8445735292155,0.00450633538860527,0.993782941168619
"20",0.0759722362529437,24.9205457654684,0.00303888945011775,0.996821830618737
"21",0.0419796118261386,24.9625253772945,0.00167918447304554,0.998501015091782
"22",0.0255258017023564,24.9880511789969,0.00102103206809425,0.999522047159876
"23",0.00855000697651064,24.9966011859734,0.000342000279060426,0.999864047438937
"24",0.00339881402658163,25,0.000135952561063265,1
"25",-1.38777878078145e-17,25,-5.55111512312578e-19,1
